savol,javob,izoh,variant_a,variant_b,variant_c,variant_d,togri_javob,daraja,kun,gender,turi,audio_url
Guten Abend!,Xayrli kech!,"Guten Abend! Frau Laura, Wie geht's Ihnen? - Xayrli kech! Laura xonim, ahvollaringiz yaxshimi? (soat 18:00 dan 22:00 gacha ishlatiladi)",Xayrli tong,Xayrli tun,Xayrli erta,Xayrli kech!,D,1,1,-,phrase,
Guten Morgen!,Xayrli tong!,"Guten Morgen! Wie geht es dir? - Xayrli tong! Qalaysan? (soat 06:00 dan 11:00 gacha ishlatiladi)",Xayrli kech,Xayrli tong!,Xayrli tun,Hayr,B,1,1,-,phrase,
Guten Tag!,Assalomu alaykum!,"Guten Tag! Ich bin Herr Müller. - Assalomu alaykum! Men janob Myullerman. (kun davomida ishlatiladi)",Xayrli tong,Xayrli kech,Assalomu alaykum!,Xayr,C,1,1,-,phrase,
Gute Nacht!,Xayrli tun!,"Gute Nacht! Schlaf gut! - Xayrli tun! Yaxshi uxla! (uxlashdan oldin ishlatiladi)",Xayrli tun!,Xayrli tong,Salom,Hayr,A,1,1,-,phrase,
Auf Wiedersehen!,Xayr!,"Auf Wiedersehen! Bis morgen! - Xayr! Ertagacha! (rasmiy xayrlashish)",Salom,Rahmat,Xayr!,Kechirasiz,C,1,1,-,phrase,
Tschüss!,Hayrlashamiz!,"Tschüss! Wir sehen uns! - Hayrlashamiz! Ko'rishguncha! (norasmiy xayrlashish)",Salom,Hayrlashamiz!,Rahmat,Kechirasiz,B,1,1,-,phrase,
der Hund,it,"Der Hund bellt laut. - It baland ovozda huradi. (uy hayvoni)",mushuk,qush,it,baliq,C,1,2,der,noun,
die Katze,mushuk,"Die Katze schläft gern. - Mushuk uxlashni yaxshi ko'radi. (uy hayvoni)",it,mushuk,qush,baliq,B,1,2,die,noun,
das Haus,uy,"Das Haus ist sehr groß. - Uy juda katta. (yashash joyi)",maktab,uy,do'kon,shifoxona,B,1,3,das,noun,
der Apfel,olma,"Der Apfel ist rot und süß. - Olma qizil va shirin. (meva)",uzum,olma,banan,apelsin,B,1,4,der,noun,
die Milch,sut,"Ich trinke jeden Tag Milch. - Men har kuni sut ichaman. (ichimlik)",suv,choy,sut,sharbat,C,1,4,die,noun,
das Brot,non,"Das Brot ist frisch. - Non yangi. (oziq-ovqat)",go'sht,non,guruch,makaron,B,1,4,das,noun,
gehen,bormoq,"Ich gehe zur Schule. - Men maktabga ketyapman. (harakat fe'li)",kelmoq,bormoq,yugurmoq,uchmoq,B,1,5,-,verb,
kommen,kelmoq,"Er kommt aus Deutschland. - U Germaniyadan kelgan. (harakat fe'li)",kelmoq,ketmoq,yugurmoq,uxlamoq,A,1,5,-,verb,
essen,yemoq,"Wir essen zusammen. - Biz birga ovqatlanamiz. (kun tartibi)",ichmoq,yemoq,uxlamoq,ishlamoq,B,1,5,-,verb,
trinken,ichmoq,"Sie trinkt Wasser. - U suv ichyapti. (kun tartibi)",yemoq,uxlamoq,ichmoq,yugurmoq,C,1,5,-,verb,
schlafen,uxlamoq,"Das Kind schläft. - Bola uxlayapti. (kun tartibi)",yemoq,ichmoq,ishlamoq,uxlamoq,D,1,5,-,verb,
arbeiten,ishlamoq,"Ich arbeite jeden Tag. - Men har kuni ishlayman. (kun tartibi)",ishlamoq,uxlamoq,o'ynamoq,dam olmoq,A,1,5,-,verb,
schnell,tez,"Das Auto fährt schnell. - Mashina tez yuryapti. (sifat)",sekin,tez,katta,kichik,B,2,10,-,adjective,
langsam,sekin,"Die Schnecke ist langsam. - Shilliq qurt sekin. (sifat)",tez,sekin,yuqori,past,B,2,10,-,adjective,
groß,katta,"Der Elefant ist groß. - Fil katta. (sifat)",kichik,sekin,katta,tez,C,1,6,-,adjective,
klein,kichik,"Die Maus ist klein. - Sichqon kichik. (sifat)",katta,kichik,uzun,qisqa,B,1,6,-,adjective,
gut,yaxshi,"Das Essen ist gut. - Ovqat yaxshi. (sifat)",yomon,yaxshi,issiq,sovuq,B,1,6,-,adjective,
schlecht,yomon,"Das Wetter ist schlecht. - Ob-havo yomon. (sifat)",yaxshi,yomon,issiq,sovuq,B,1,6,-,adjective,
heute,bugun,"Heute ist Montag. - Bugun dushanba. (vaqt ravishi)",kecha,ertaga,bugun,hozir,C,1,7,-,adverb,
morgen,ertaga,"Morgen gehe ich einkaufen. - Ertaga xarid qilaman. (vaqt ravishi)",bugun,ertaga,kecha,keyinroq,B,1,7,-,adverb,
gestern,kecha,"Gestern war Sonntag. - Kecha yakshanba edi. (vaqt ravishi)",bugun,ertaga,kecha,oldinroq,C,1,7,-,adverb,
Wie heißt du?,Ismingiz nima?,"Wie heißt du? Ich heiße Max. - Ismingiz nima? Mening ismim Maks. (tanishuv)",Qayerdansan?,Ismingiz nima?,Necha yoshdasiz?,Qanday?,B,1,8,-,phrase,
Woher kommst du?,Qayerdansan?,"Woher kommst du? Ich komme aus Usbekistan. - Qayerdansan? Men O'zbekistondanman. (tanishuv)",Ismingiz nima?,Qayerdansan?,Necha yoshdasiz?,Qachon?,B,1,8,-,phrase,
Wie alt bist du?,Necha yoshdasiz?,"Wie alt bist du? Ich bin 25 Jahre alt. - Necha yoshdasiz? Men 25 yoshdaman. (tanishuv)",Ismingiz nima?,Qayerdansan?,Necha yoshdasiz?,Qachon?,C,1,8,-,phrase,
